date,flood_depth,NDVI_mean_loss,NDVI_median_loss,NDVI_loss_prob
2020-09-10,0.0,4.359439016325579,3.8830838746116916,0.022868766562903677
2020-09-11,0.2631578947368421,4.359439016325579,3.8830838746116916,0.022868766562903677
2020-09-12,0.5263157894736842,4.359439016325579,3.8830838746116916,0.022868766562903677
2020-09-13,0.7894736842105263,4.359439016325579,3.8830838746116916,0.022868766562903677
2020-09-14,1.0526315789473684,5.250817422191255,4.964169726066083,0.6436188807486767
2020-09-15,1.3157894736842104,6.142195828056916,6.045255577520474,0.6611579708156673
2020-09-16,1.5789473684210527,7.033574233922592,7.126341428974865,0.6712609016140254
2020-09-17,1.8421052631578947,7.924952639788255,8.207427280429258,0.6783544266988398
2020-09-18,2.1052631578947367,8.81633104565393,9.288513131883649,0.6838123299487944
2020-09-19,2.3684210526315788,9.707709451519593,10.36959898333804,0.6882422908314032
2020-09-20,2.631578947368421,10.599087857385268,11.450684834792431,0.6919666692583304
2020-09-21,2.894736842105263,11.49046626325093,12.531770686246823,0.6951769876967206
2020-09-22,3.1578947368421053,12.381844669116607,13.612856537701214,0.6979962810013182
2020-09-23,3.4210526315789473,13.273223074982283,14.693942389155605,0.7005082539560586
2020-09-24,3.6842105263157894,14.164601480847944,15.775028240609997,0.7027724159173157
2020-09-25,3.9473684210526314,15.05597988671362,16.856114092064388,0.7048325762571819
2020-09-26,4.2105263157894735,15.947358292579281,17.93719994351878,0.7067219135923334
2020-09-27,4.473684210526316,16.838736698444958,19.01828579497317,0.7084661529766907
2020-09-28,4.7368421052631575,17.73011510431062,20.099371646427564,0.7100856394278727
2020-09-29,5.0,18.621493510176293,21.180457497881953,0.7115967378232979
